player_0,player_0_rank,player_1,player_1_rank
Nadal R.,1,Carreno-Busta P.,27
Kyrgios N.,23,Khachanov K.,70
Monfils G.,10,Gulbis E.,100
Thiem D.,5,Fritz T.,29
Medvedev D.,4,Popyrin A.,99
Wawrinka S.,15,Isner J.,19
Goffin D.,11,Rublev A., 17
Zverev A.,7,Verdasco F.,98
Sandgren T.,57,Querrey S.,87
Fognini F.,12,Pella G.,22
Dimitrov G.,27,Fucsovics M.,97
Federer R.,3,Millman J.,101
Tsitsipas S.,6,Raonic M.,32
Bautista-Agut R.,9,Cilic M.,90
Schwartzman D.,14,Lajovic D.,24
Djokovic N.,2,Nishioka Y.,111






